#Label name	Characters involved	Description	Hint
sabiafirstbj	Sabia	Sabia's first blowjob in the tents.	Work at tents before the trial.
sabiatent1	Sabia	Inexperienced blowjob.	Work at tents before the trial.
sabiatent2	Sabia	Inexperienced blowjob after Neve's advice.	Work at tents before the trial after obtaining Neve's advice.
sabiatent3	Sabia	Experienced blowjob.	Work enough times at tents before the trial.
sabiatent4	Sabia	Experienced blowjob after Neve's advice.	Work enough times at tents before the trial after obtaining Neve's advice.
neveorctravelers	Neve	Neve has threesome with two orc travelers.	Run an errand for Dajrab before the trial.
tekrokcrew1	Sabia	Sabia has sex with Tekrok's men in her barmaid uniform.	Tekrok's path. Agree to go to the tents with his men.
tekrokcrew2	Sabia	Sabia has sex with Tekrok's men in her slave outfit.	Tekrok's path. Agree to go to the tents with his men.
lutvrogscene	Sabia, Lutvrog	Sabia and Lutvrog have sex after their sparring match.	Beat Lutvrog in a sparring match.
badendorctent	Sabia	Bad End: Sabia falls victim to the shaman's drugs.	Bad End: Accept the Shaman's help after failing the membership ritual.
badendorctrial	Sabia	Bad End: Sabia enrages the Warchief during the trial.	Bad End: Disrespect Groknak as much as possible during the trial.
lynnintroscene	Lynn	Lynn persuades a soldier.	Automatically obtained during story progression.
nevemaply1	Maply, Neve	Neve interrogates Maply.	Ask for Neve's help to interrogate Maply.
orcmaply1	Maply	An orc interrogates Maply.	Ask for the orc at central camp help to interrogate Maply.
sabiabargrope1	Sabia	Sabia endures the groping of a group of rowdy orcs.	Work at the bar and serve them drinks.
sabiabargrope2	Sabia	Sabia endures the groping of a group of rowdy orcs again.	Work at the bar and serve them drinks.
sabiabargrope3	Sabia	Sabia endures the groping of a group of rowdy orcs one more time.	Work at the bar and serve them drinks.
sabiabargrope4	Sabia	Sabia endures the groping of a group of rowdy orcs and gives them a happy ending.	Work at the bar and serve them drinks.
catgirls1punishment	Catgirls	A catgirl leader is made into an example.	Go with Tekrok's plan after solving the catgirl raid quest.
catgirls1working	Catgirls	The catgirls are made to work off their debt in the tents.	Go with Rokgrid's plan after solving the catgirl raid quest.
catgirls1enslaved	Catgirls	Sabia enslaves the catgirls in the tents.	Enslave the catgirls after solving the catgirl raid quest.
barrinintscenedom	Sabia, Misc	Sabia has sex with Barrin for information (dom version).	Interrogate Barrin after picking dom options during the quest.
barrinintscenesub	Sabia, Misc	Sabia has sex with Barrin for information (sub version).	Interrogate Barrin after picking sub options during the quest.
vehlisaliochA	Vehlis, Misc	Vehlis enjoys her elven slave.	Automatically obtained during story progression.
nevealiochsabia	Sabia, Neve, Misc	Neve and Sabia have a threesome with Vehlis' slave.	Solo Sabia or Dajrab's path. Agree with Neve's idea when you meet Alioch during the feast.
HGNtekrokscene	Sabia	Sabia performs a somewhat sacred ceremony during the Horned God's Night.	Tekrok's path. Automatically obtained during story progression.
HGNdajrabscene	Sabia	Sabia performs a sacred ceremony during the Horned God's Night.	Dajrab's path. Agree to do the ritual dance.
badendmurdertrial	Sabia	Bad End: The shamans use Sabia as a breeder after she is declared a murderer.	Bad End: Requires killing the orc gropers. Fail during the murder investigation.
HGNelmysceneA	Elmy	The enslaved Elmy is used to bribe an orc.	Requires enslaved catgirls. Requires killing the orc gropers. Use Elmy to bribe a witness during the murder investigation.
HGNelmysceneB	Elmy	Elmy works cocks during the Horned God's Night.	Rokgrid's path. Requires non-enslaved catgirls. Automatically obtained during story progression if conditions are met.
hellhoundsabiaA	Sabia	Sabia tames a hellhound.	Requires sub >= 2. Requires having worked at the tents 3 or more times. Pick the submission option to pacify the hellhound during the Red God's Arena.
RGAvehlissex	Sabia, Vehlis	Vehlis needs some help testing out sex toys.	Requires dom >= 10. Requires Vehlis affection >= 5. See where things go when you meet Vehlis during the Red God's Arena.
RGAdisqualification1	Sabia	Sabia bribes the arena guard for another chance.	Requires sub >= 3. Requires having worked at the tents 3 or more times. Lose during the Red God's Arena qualification round and bribe the guard for another chance.
RGAdisqualification2	Sabia	Sabia bribes the arena guard for another chance again.	Requires the previous scene. Lose during the Red God's Arena qualification round and bribe the guard for another chance again.
RGAdisqualification3	Sabia	Sabia bribes the arena guard for another chance yet again.	Requires the previous scene. Lose during the Red God's Arena qualification round and bribe the guard for another chance yet again.
RGAnevelutvrogS	Sabia, Neve, Lutvrog	After training, Neve and Lutvrog have a threesome with Sabia (sub version).	Requires not having tortured Maply. Complete the individual training with both Lutvrog and Neve during the Red God's Arena and then train with both of them.
RGAnevelutvrogD	Sabia, Neve, Lutvrog	After training, Neve and Lutvrog have a threesome with Sabia (dom version).	Requires not having tortured Maply. Requires dom >=10. Complete the individual training with both Lutvrog and Neve during the Red God's Arena and then train with both of them.
RGAlastsceneintro	Misc	The story of Ellia's life.	Automatically obtained during story progression.
RGAlastscene	Tyra	Tyra uses her power on a captive minotaur and elf.	Automatically obtained during story progression.
RokgridSabiaA	Sabia, Rokgrid	Rokgrid and Sabia have a steamy encounter.	Rokgrid's path. Requires success during Rokgrid's raid missions.
RokgridSabiaB	Sabia, Rokgrid	Rokgrid takes charge with Sabia.	Requires the previous scene. Allow Rokgrid to take the lead.
RokgridSabiaC	Sabia, Rokgrid	Sabia takes charge with Rokgrid.	Requires the previous scene. Take the lead yourself.
TekrokSabiaSub	Sabia, Tekrok	Sabia submits to Tekrok's lusts.	Tekrok's path. Requires sub >= 5. Requires success during Tekrok's raid missions.
TekrokSabiaDom	Sabia, Tekrok	A battle of wills between Tekrok and Sabia.	Tekrok's path. Requires dom >= 5. Requires success during Tekrok's raid missions.
raidquestbribery	Sabia	Sabia uses her body to pay off agents in the orc camp.	Requires sub >= 20. Bribe the orc blocking your troops from training.
